player,category,year,setName,info,notes,purchaseDate,purchasedFrom,ebaySeller,purchasePrice,gradingCost,psaSubmissionNumber,grade,soldPrice,soldDate
Aaron Judge ,Baseball,2017,Bowman Chrome,RC,ROY Fav. PSA 10,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$47.00,$0.00,,,$60.00,"Feb 24, 2024"
Juan Soto,Baseball,2021,Topps Finest,Auto /50,Purchased as PSA 10,"Dec 23, 2023",Ebay,comc_consigment,$262.50,$0.00,,,$330.00,"Feb 24, 2024"
CJ Abrams,Baseball,2022,Topps Archives,RC,Red Hot Foil /50,"Dec 16, 2023",Lucky 7 Cards Card Show,N/A,$16.00,$16.00,11856606,10,$23.99,"Mar 4, 2024"
Gunnar Henderson,Baseball,2023,Bowman,RC,ROY Favorites,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$5.00,$16.00,11856606,9,$9.71,"Mar 4, 2024"
Marcelo Mayer,Baseball,2022,Leaf Vivid,Auto /35,Sending to PSA,"Nov 11, 2023",Whatnot juicedupbreakz7,N/A,$18.20,$16.00,11856606,9,$16.62,"Mar 4, 2024"
Henry Davis,Baseball,2022,Bowman Chrome,Auto,Prospect,"Dec 16, 2023",Lucky 7 Cards Card Show,N/A,$15.00,$16.00,11856606,9,$33.53,"Mar 4, 2024"
Jazz Chisholm,Baseball,2021,Topps Chrome,RC Auto,1986 Silver Pack Orange 07/25,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$80.00,$16.00,11856606,9,$54.35,"Mar 4, 2024"
Shohei Ohtani,Baseball,2018,Topps Chrome,RC,1983 Topps,"Dec 16, 2023",Lucky 7 Cards Card Show,N/A,$80.00,$16.00,11856606,9,$97.29,"Mar 4, 2024"
Aaron Judge ,Baseball,2017,Topps Chrome ,Rookie,Freshman Flash Insert,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$15.00,$16.00,11856606,10,$45.68,"Mar 11, 2024"
Drew Jones,Baseball,2023,Bowman Chrome,1st Bowman,Speckle Refractor / 299,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$35.00,$16.00,11856606,10,$61.02,"Mar 11, 2024"
Adley Rutschman,Baseball,2023,Topps Chrome,SP Rookie,SP,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$75.00,$16.00,11856606,9,$30.06,"Mar 11, 2024"
Gunnar Henderson,Baseball,2023,Bowman Mega,RC,Purchased as PSA 10,"Nov 3, 2023",Goldin Auction,N/A,$49.02,$0.00,,,$26.06,"Mar 11, 2024"
Bobby Witt Jr.,Baseball,2022,Topps Chrome Black,Rookie Auto,Sent to PSA,"Dec 31, 2023",Ebay,coachruesports,$175.91,$18.00,11895114,10,$350.00,"Mar 15, 2024"
Bobby Witt Jr.,Baseball,2022,Topps,Rookie Auto,1987 - PSA 10,"Dec 4, 2023",Ebay,coachruesports,$259.25,$0.00,,,$350.00,"Mar 15, 2024"
Justin Herbert,Football,2022,Panini Immaculate,Auto /25,RAW,"Dec 16, 2023",Ebay,tridiam-0,$204.00,$0.00,,,$200.00,"Mar 23, 2024"
Corbin Carrol,Baseball,2023,Topps Chrome,SP Rookie,SGC 10 - Crossing over to PSA,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$80.00,$34.00,11934203,10,$127.84,"Apr 7, 2024"
Drew Jones,Baseball,2023,Bowman Mega,1st Bowman,Mojo Base,"Nov 3, 2023",Dallas Card Show Nov ‘23,N/A,$5.00,$0.00,,,$0.00,"Apr 12, 2024"
Shohei Ohtani,Baseball,2022,Topps Chome Platinum,Red Atomic /100,Purchased as PSA 10,"Mar 16, 2024",Dallas Card Show Mar ‘24,N/A,$250.00,$0.00,,,$102.96,"Apr 12, 2024"
Juan Soto,Baseball,2021,Topps Chrome Black,Auto /99,PSA 10,"Nov 20, 2023",Ebay,sellorkeep,$176.62,$0.00,,,$129.18,"Apr 12, 2024"
Enzo Fernandez,Soccer,2023,Panini Obsidian,RC,/115,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$5.00,$21.50,11977765,10,$18.12,"Apr 22, 2024"
Jalen Hurts,Football,2023,Panini Prizm,,Green,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$3.00,$21.50,11977765,10,$18.59,"Apr 22, 2024"
Chris Olave,Football,2022,Leaf Valiant,Auto,"Take it to the House  - Red, White and Blue #/7
","Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$15.00,$21.50,11977765,10,$29.75,"Apr 22, 2024"
Julian Alvarez,Soccer,2023,Donruss,RC,Silver,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$5.00,$21.50,11977765,10,$33.92,"Apr 22, 2024"
Adley Rutschman,Baseball,2023,Bowman Chrome,RC,ROY Fav. #/99,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$20.00,$21.50,11977765,10,$36.45,"Apr 22, 2024"
Josh Allen,Football,2023,Panini Prizm,,"Red, Blue & White","Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$2.00,$21.50,11977765,10,$46.56,"Apr 22, 2024"
Logan O’Hoppe,Baseball,2023,Topps Chrome,RC Auto,,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$20.00,$21.50,11977765,10,$52.53,"Apr 22, 2024"
Juan Soto,Baseball,2022,Topps Finest,Auto /25,,"Feb 22, 2024",Ebay,masm_530049,$167.79,$21.50,11977765,10,$190.85,"Apr 22, 2024"
Anthony Volpe,Baseball,2023,Topps Chrome Black,RC,#/10,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$160.00,$21.50,11977765,10,$361.63,"Apr 22, 2024"
Justin Herbert,Football,2021,Panini Phoenix,,Red Laser #/285,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$5.00,$21.50,11977765,9,$15.41,"Apr 22, 2024"
Wyatt Langford,Baseball,2023,Bowman Draft,,Glass Set /150 Mini Diamond,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$35.00,$21.50,11977765,9,$30.48,"Apr 22, 2024"
Aaron Jones,Football,2020,Panini Donruss Optic,,Downtown,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$180.00,$21.50,11977765,9,$231.07,"Apr 22, 2024"
Vaughn Grissom,Baseball,2023,Topps Chrome,RC,Prism,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$5.00,$21.50,11977765,10,$17.78,"Apr 23, 2024"
C.J. Stroud,Football,2023,Panini Prizm,RC,Prize Break Green,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$15.00,$21.50,11977765,10,$54.82,"Apr 23, 2024"
Joe Burrow,Football,2021,Panini Contenders,,Playoff #/199,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$10.00,$21.50,11977765,10,$21.93,"May 6, 2024"
Lamar Jackson,Football,2019,Panini Prizm,#/99,Blue Ice #/99,"Feb 24, 2024",Lucky 7 Cards Rip Night,N/A,$20.00,$21.50,11977765,9,$23.14,"May 6, 2024"
Nolan Gorman,Baseball,2023,Topps Chrome,,Prism Refractor,"Mar 16, 2024",Dallas Card Show Mar ‘24,N/A,$2.00,$18.40,12027612,10,$12.14,"May 6, 2024"
Rafael Devers,Baseball,2023,Topps Chrome Black,,Gold #/50,"Mar 16, 2024",Dallas Card Show Mar ‘24,N/A,$20.00,$18.40,12027612,10,$17.96,"May 6, 2024"
Francisco Lindor,Baseball,2023,Topps Chrome Black,,Gold #/50,"Mar 2, 2024",Ebay,dcsports87user ID,$21.92,$18.40,12027612,10,$18.79,"May 6, 2024"
Adley Rutschman,Baseball,2023,Topps Chrome,,Refractor,"Mar 16, 2024",Dallas Card Show Mar ‘24,N/A,$3.00,$18.40,12027612,10,$19.75,"May 6, 2024"
