player,category,year,setName,info,notes,purchaseDate,purchaseFrom,ebaySeller,purchasePrice
Andres Galarraga,Baseball,2017,Topps Diamond Icons,Auto /25,,"Mar 10, 2023",,,$40.72
Andres Galarraga,Baseball,2017,Topps Stadium Club,Club Power Zone  1/1,,"Feb 6, 2024",,,$80.82
Andres Galarraga,Baseball,1997,Skybox E-X 2000,Essential Credentials,,"Jun 1, 2025",,,$204.00
Andres Galarraga,Baseball,2021,Topps Stadium Club,Auto,Bought Raw,"Jun 16, 2025",,,$18.40
Andres Galarraga,Baseball,2021,Topps Stadium Club,Auto,Bought Raw,"Feb 26, 2026",,,$15.37
Andres Galarraga,Baseball,1995,Studio,Gold Plastics Stock,,"Jun 20, 2026",,,$4.25
"Andres Galarraga, Bobby Abreu",Baseball,2017,Topps Definitive,Dual Auto /35,,"Sep 13, 2024",,,$65.98
"Andres Galarraga, Omar Vizquel",Baseball,2017,Topps Definitive,Dual Auto /35,,"Nov 18, 2025",,,$47.21
Andres Gimenez,Baseball,2025,Topps Gilded Collection,Electroblack Gold /5 ,,"Jun 28, 2026",,,$20.00
Antonio (Tony) Armas,Baseball,2004,Topps Retired,Signature Edition Auto,Bought Raw,"Oct 27, 2024",,,$18.00
Bobby Abreu,Baseball,2016,Topps Dynasty,Patch Auto /5,,"Dec 9, 2024",,,$174.28
Bobby Abreu,Baseball,1997,Skybox E-X 2000,Essential Credentials,,"Oct 8, 2025",,,$226.90
Bobby Abreu,Baseball,2017,Stadium Club,Auto,Bought Raw,"Apr 4, 2026",,,$29.22
Bobby Abreu,Baseball,2017,Topps Museum Collection,Auto - Copper /50,,"Jun 9, 2026",,,$30.84
Bobby Abreu,Baseball,2006,Upper Deck SPx,WBC Winning Materials,,"Jun 20, 2026",,,$10.49
"Bobby Abreu, Magglio Ordonez ",Baseball,2001,Stadium Club,Co Signers Auto,,"Dec 18, 2025",,,$44.37
David Concepcion,Baseball,2013,Topps Archives Fan Favorites,Auto,Bought Raw,"Jan 27, 2022",,,$24.14
Elvis Andrus,Baseball,2009,Upper Deck Sweet Spot,Auto /350,,"Apr 13, 2026",,,$17.35
