submissionNumber,receivedDate,historicalTotalCards,historicalPsa10,historicalPsa9,historicalPsa85,historicalPsa8,historicalPsa75OrLess,historicalNoGrade
11500869,2023-08-01,16,8,5,0,3,0,0
11632971,2023-11-01,28,13,10,0,5,0,0
11685216,2023-12-01,20,6,7,0,6,1,0
11856606,2024-01-08,47,25,14,0,5,1,2
11934203,2024-02-07,10,6,2,0,2,0,0
11895114,2024-03-21,10,5,5,0,0,0,0
11977765,2024-04-03,20,12,4,0,3,1,0
12027612,2024-04-25,45,22,17,0,2,4,0
12044769,2024-05-21,38,27,7,0,4,0,0
12117237,2024-06-06,24,16,7,0,1,0,0
12220534,2024-08-01,11,4,5,0,2,0,0
12268341,2024-07-29,20,9,7,0,2,2,0
12344355,2024-09-17,30,11,13,0,4,2,0
12420066,2024-10-15,20,5,14,0,1,0,0
12469792,2024-11-07,20,12,6,0,2,0,0
12630353,2025-02-28,21,12,5,0,3,0,1
12997921,2025-06-29,28,12,13,0,2,0,1
13133440,2025-08-15,27,17,6,4,0,0,0
13408550,2025-11-01,8,5,2,1,0,0,0
13653679,2025-11-20,1,0,1,0,0,0,0
13653717,2025-12-22,12,7,1,0,3,1,0
14258767,2026-05-21,16,8,8,0,0,0,0
14656435,2026-08-11,8,2,4,2,0,0,0
15034230,2026-09-01,17,11,6,0,0,0,0
15126041,2026-08-10,16,5,7,4,0,0,0
15175291,2026-09-03,14,6,5,3,0,0,0
