Card Investing,,,,,,,,,,,,,,,,,,
Player,Category,Status,Year,Set,Info,Notes,Purchase Date,Purchased from,Ebay Seller,Price,Grading,PSA Sub #,Grading Result,Total,Sold,Sold Date,Profit,Percentage
Bryce Harper,Baseball,PSA - Ebay Auction,2026,Bowman,Final Draft,,"May 25, 2026",Ebay,bluecollarcardsny,$119.19,$35.64,15034230,MINT 9,$154.83,,,,
Bukayo Saka,Soccer,PSA - Ebay Auction,2025-26,Topps Chrome UEFA CC ,Veni Vidi Vici,,"Jun 13, 2026",Austin Card Show,N/A,$280.00,$83.74,15126041,GEM MT 10,$363.74,,,,
Cooper Flagg,Basketball,PSA Grading,2025-26,Topps Finest,Oil Spill Refractor,,"Aug 17, 2026",Ebay,murozond,$50.76,,15370614,,$50.76,,,,
Didier Drogba,Soccer,Ebay Fixed,2024-25,Topps Chrome UEFA CC ,Red Lazer Auto - Red /5,,"Jun 13, 2026",Austin Card Show,N/A,$450.00,$83.74,15126041,NM-MT 8,$533.74,,,,
Harry Kane,Soccer,Ebay Fixed,2025-26,Topps Chrome UEFA CC ,Black Lazer Auto - Green /99,,"Jun 9, 2026",Ebay,murozond,$109.56,$83.74,15126041,NM-MT 8,$193.30,,,,
Jac Caglianone,Baseball,In Transit from PSA,2026,Topps,1991 Auto,,"Jun 27, 2026",Lucky 7 Trade Night,N/A,$130.00,$84.28,15175291,NM-MT 8,$214.28,,,,
Jackson Jobe,Baseball,In Transit from PSA,2025,Topps Chrome,Radiating Rookies,,"May 18, 2026",Ebay,traiden-megan,$40.03,$35.64,15034230,GEM MT 10,$75.67,,,,
Joe Burrow,Football,PSA - Ebay Auction,2026,Topps Signature,Monarchs of the Game,,"Jun 28, 2026",Lucky 7 Trade Night,N/A,$130.00,$84.28,15175291,MINT 9,$214.28,,,,
Jose Altuve,Baseball,PSA - Ebay Auction,2026,Topps Heritage,Red Ink / 77,,"May 12, 2026",Ebay,,$92.69,$35.64,15034230,MINT 9,$128.33,,,,
Kimi Antonelli,Formula 1,PSA - Ebay Auction,2025,Topps Chrome Formula 1,Cars - Blue /150,,"Jun 9, 2026",Ebay,ratedrips,$139.09,$84.28,15175291,NM-MT 8,$223.37,,,,
Kimi Antonelli,Formula 1,Raw Pile,2025,Topps Chrome Formula 1,Neon Nations,Cracked & Damaged,"Jun 9, 2026",Ebay,murozond,$403.83,$83.74,15126041,MINT 9,$487.57,,,,
Kimi Antonelli,Formula 1,PSA - Ebay Auction,2025,Topps Chrome Formula 1,Helmet Collection,,"Jun 10, 2026",Ebay,ratedrips,$104.99,$84.28,15175291,GEM MT 10,$189.27,,,,
Kimi Antonelli,Formula 1,In Transit from PSA,2025,Topps Chrome Sapphire Formula 1,Sapphire Selections,,"Jun 15, 2026",Ebay,murozond,$1328.32,$153.28,15175291,GEM MT 10,$1481.60,,,,
Kimi Antonelli,Formula 1,PSA - Ebay Auction,2025,Topps Chrome Sapphire Formula 1,On the Move,,"Jun 15, 2026",Ebay,murozond,$124.43,$84.28,15175291,GEM MT 10,$208.71,,,,
Kimi Antonelli,Formula 1,PSA - Ebay Auction,2025,Topps Chrome Sapphire Formula 1,On the Move,,"Jun 15, 2026",Ebay,murozond,$137.48,$84.28,15175291,MINT 9,$221.76,,,,
Kimi Antonelli,Formula 1,PSA Grading,2025,Topps Chrome Formula 1,Helmet Collection,,"Aug 2, 2026",Ebay,murozond,$145.00,,15288930,,$145.00,,,,
Kimi Antonelli,Formula 1,PSA Grading,2025,Topps Chrome Formula 1,Helmet Collection,,"Aug 2, 2026",Ebay,murozond,$145.00,,15288930,,$145.00,,,,
Kimi Antonelli,Formula 1,PSA Grading,2025,Topps Chrome Formula 1,On the Move,,"Aug 2, 2026",Ebay,murozond,$52.07,,15288930,,$52.07,,,,
